session_id,unit_id,phase,task,status,ordering
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence01,normal,manual,done,0
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence02,active,manual,todo,1
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence02,normal,llm,todo,1
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence02,normal,manual,done,1
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence03,active,manual,todo,2
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence03,normal,llm,todo,2
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence03,normal,manual,done,2
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence04,active,manual,todo,3
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence04,normal,llm,todo,3
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence04,normal,manual,done,3
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence05,active,manual,todo,4
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence05,normal,llm,todo,4
07d76c08-e0c5-440f-a967-ed803222a932,essay0001_sentence05,normal,manual,done,4
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence01,normal,llm,todo,5
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence01,normal,manual,todo,5
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence02,normal,llm,todo,6
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence02,normal,manual,todo,6
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence03,normal,llm,todo,7
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence03,normal,manual,todo,7
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence04,normal,llm,todo,8
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence04,normal,manual,todo,8
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence05,normal,llm,todo,9
07d76c08-e0c5-440f-a967-ed803222a932,essay0002_sentence05,normal,manual,todo,9
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence01,normal,llm,todo,10
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence01,normal,manual,todo,10
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence02,normal,llm,todo,11
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence02,normal,manual,todo,11
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence03,normal,llm,todo,12
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence03,normal,manual,todo,12
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence04,normal,llm,todo,13
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence04,normal,manual,todo,13
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence05,normal,llm,todo,14
07d76c08-e0c5-440f-a967-ed803222a932,essay0003_sentence05,normal,manual,todo,14
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence01,active,manual,todo,0
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence01,normal,llm,todo,0
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence01,normal,manual,todo,0
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence02,active,manual,todo,1
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence02,normal,llm,todo,1
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence02,normal,manual,todo,1
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence03,active,manual,todo,2
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence03,normal,llm,todo,2
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence03,normal,manual,todo,2
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence04,active,manual,todo,3
081c517f-cfea-4e31-a640-599ceda207aa,essay0001_sentence04,normal,llm,todo,3
